attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,blinkStrength,time,m_2300,session_id,blinkType
27,66,147066,184522,27641,18253,3924,9784,4592,2028,0,204.1244607,0,17,0
27,66,147066,184522,27641,18253,3924,9784,4592,2028,56,205.0796764,0,17,0
35,63,91073,7997,5749,7770,5456,3575,836,128,0,205.1109979,0,17,0
35,63,91073,7997,5749,7770,5456,3575,836,128,144,205.9495286,0,17,1
44,48,943709,290773,4618,58415,22285,52904,18951,13716,0,206.1052237,0,17,0
44,48,943709,290773,4618,58415,22285,52904,18951,13716,50,206.5375752,0,17,0
44,48,943709,290773,4618,58415,22285,52904,18951,13716,128,206.8772682,0,17,2
44,48,943709,290773,4618,58415,22285,52904,18951,13716,0,207.11894730000003,0,17,0
44,48,943709,290773,4618,58415,22285,52904,18951,13716,0,207.1192003,0,17,0
48,47,846235,225763,55783,68211,55819,28751,8931,6156,0,207.1194376,0,17,0
48,47,846235,225763,55783,68211,55819,28751,8931,6156,49,207.3295008,0,17,0
48,47,846235,225763,55783,68211,55819,28751,8931,6156,114,208.0396333,0,17,1
50,56,718206,154392,68128,44323,28491,13848,9307,15110,0,208.1001763,0,17,0
50,56,718206,154392,68128,44323,28491,13848,9307,15110,78,208.3444289,0,17,2
50,56,718206,154392,68128,44323,28491,13848,9307,15110,58,208.7064485,0,17,0
37,44,131677,26905,5532,4944,6104,2021,666,306,0,209.11559810000003,0,17,0
37,44,131677,26905,5532,4944,6104,2021,666,306,81,209.2092177,0,17,1
37,44,131677,26905,5532,4944,6104,2021,666,306,53,209.4883511,0,17,0
37,44,131677,26905,5532,4944,6104,2021,666,306,135,209.77165520000003,0,17,2
30,37,998163,192640,13712,5540,26917,18385,5802,2308,0,210.1024012,0,17,0
30,37,998163,192640,13712,5540,26917,18385,5802,2308,71,210.1289467,0,17,2
37,44,849121,30190,14384,23610,7027,10216,2891,1951,0,211.107718,0,17,0
37,44,849121,30190,14384,23610,7027,10216,2891,1951,33,211.1372998,0,17,0
40,30,621237,555451,75922,39578,67743,42553,13291,3621,0,212.1031532,0,17,0
40,30,621237,555451,75922,39578,67743,42553,13291,3621,51,212.7612683,0,17,0
40,30,621237,555451,75922,39578,67743,42553,13291,3621,175,213.0661562,0,17,1
40,30,621237,555451,75922,39578,67743,42553,13291,3621,173,213.57034460000003,0,17,2
51,37,566121,328468,71929,10374,60347,26011,25187,21187,0,214.1552345,0,17,0
51,37,566121,328468,71929,10374,60347,26011,25187,21187,90,214.1559246,0,17,1
51,37,566121,328468,71929,10374,60347,26011,25187,21187,117,214.68313630000003,0,17,2
53,26,1321935,61838,22351,7129,15758,13564,5485,6420,0,215.1131749,0,17,0
44,14,499762,236917,15649,2100,31704,7883,13823,3077,0,216.1037173,0,17,0
44,14,499762,236917,15649,2100,31704,7883,13823,3077,43,216.9366926,0,17,0
44,14,499762,236917,15649,2100,31704,7883,13823,3077,0,217.1005803,0,17,0
44,14,499762,236917,15649,2100,31704,7883,13823,3077,0,217.1006463,0,17,0
44,14,499762,236917,15649,2100,31704,7883,13823,3077,43,217.1596775,0,17,0
44,14,499762,236917,15649,2100,31704,7883,13823,3077,198,217.6610871,0,17,1
54,23,1558428,107317,106263,34121,69436,51703,23630,8477,0,218.1178248,0,17,0
54,23,1558428,107317,106263,34121,69436,51703,23630,8477,171,218.3027626,0,17,2
54,23,1558428,107317,106263,34121,69436,51703,23630,8477,50,218.7644412,0,17,0
54,23,1558428,107317,106263,34121,69436,51703,23630,8477,147,219.2368595,0,17,1
54,23,1558428,107317,106263,34121,69436,51703,23630,8477,148,219.6756236,0,17,2
67,44,176739,17341,7929,2348,1472,2728,1502,798,0,220.10477440000005,0,17,0
67,44,176739,17341,7929,2348,1472,2728,1502,798,121,220.19460060000003,0,17,2
67,44,176739,17341,7929,2348,1472,2728,1502,798,160,220.4935528,0,17,1
67,44,176739,17341,7929,2348,1472,2728,1502,798,122,220.8389384,0,17,2
67,44,176739,17341,7929,2348,1472,2728,1502,798,82,221.1415344,0,17,2
57,56,2380703,1283652,289498,365038,117093,125799,170523,146756,0,221.1419817,0,17,0
61,50,1197549,46870,3310,17224,1766,16800,8808,1717,0,222.1272646,0,17,0
61,50,1197549,46870,3310,17224,1766,16800,8808,1717,94,222.2828996,0,17,1
61,50,1197549,46870,3310,17224,1766,16800,8808,1717,132,222.6125352,0,17,2
41,41,1302844,987413,79023,66384,10306,28724,20589,7427,0,223.1128717,0,17,0
41,41,1302844,987413,79023,66384,10306,28724,20589,7427,48,223.5342872,0,17,0
41,41,1302844,987413,79023,66384,10306,28724,20589,7427,110,223.8112172,0,17,1
35,50,244034,36933,19510,18670,2296,4453,3760,1410,0,224.1212125,0,17,0
35,50,244034,36933,19510,18670,2296,4453,3760,1410,113,224.6031313,0,17,2
41,57,237955,46823,25089,67126,35422,16396,6666,4505,0,225.1122761,0,17,0
41,57,237955,46823,25089,67126,35422,16396,6666,4505,104,225.1700586,0,17,1
17,64,723955,246099,117643,49597,15866,13413,18284,7307,0,226.1185971,0,17,0
17,64,723955,246099,117643,49597,15866,13413,18284,7307,141,226.1822394,0,17,1
17,64,723955,246099,117643,49597,15866,13413,18284,7307,116,226.9258414,0,17,2
17,64,723955,246099,117643,49597,15866,13413,18284,7307,0,227.11211770000003,0,17,0
17,64,723955,246099,117643,49597,15866,13413,18284,7307,0,227.1121855,0,17,0
23,70,864782,99854,8696,16215,8354,5350,963,666,0,227.1124435,0,17,0
23,70,864782,99854,8696,16215,8354,5350,963,666,102,227.8815165,0,17,1
37,63,802029,263970,84499,60216,26839,66296,40743,11358,0,228.1721272,0,17,0
37,63,802029,263970,84499,60216,26839,66296,40743,11358,110,228.3386025,0,17,2
37,63,802029,263970,84499,60216,26839,66296,40743,11358,112,229.40675360000003,0,17,1
37,63,802029,263970,84499,60216,26839,66296,40743,11358,44,229.6298333,0,17,0
35,38,291492,21800,11171,3955,3647,3277,2888,549,0,230.1191578,0,17,0
35,38,291492,21800,11171,3955,3647,3277,2888,549,157,230.3365878,0,17,2
35,38,183724,46451,3838,20343,3841,979,1839,943,0,231.11724970000003,0,17,0
35,38,183724,46451,3838,20343,3841,979,1839,943,112,231.2431485,0,17,1
35,38,183724,46451,3838,20343,3841,979,1839,943,34,231.3671299,0,17,0
35,38,183724,46451,3838,20343,3841,979,1839,943,67,231.453878,0,17,2
35,38,183724,46451,3838,20343,3841,979,1839,943,163,231.8092802,0,17,2
43,44,271436,128407,56873,14134,32683,15559,3430,4165,0,232.1375257,0,17,0
21,34,725046,225667,22705,11197,8307,7100,4209,1620,0,233.1001333,0,17,0
51,47,880899,7265,5504,3512,3763,9925,2685,2290,0,234.1155118,0,17,0
51,47,880899,7265,5504,3512,3763,9925,2685,2290,174,234.7387251,0,17,1
74,47,558396,15381,9637,22152,15123,31878,10542,2129,0,235.1218509,0,17,0
74,47,558396,15381,9637,22152,15123,31878,10542,2129,177,235.57988680000005,0,17,2
88,29,1285243,86458,9106,11222,83361,37919,6546,2037,0,236.1052118,0,17,0
88,29,1285243,86458,9106,11222,83361,37919,6546,2037,119,236.5760836,0,17,1
88,29,1285243,86458,9106,11222,83361,37919,6546,2037,0,237.0934905,0,17,0
88,29,1285243,86458,9106,11222,83361,37919,6546,2037,0,237.0936741,0,17,0
100,44,840925,97740,58487,54650,41794,55937,45958,19920,0,237.1257231,0,17,0
100,41,65258,51114,11282,12287,12454,14870,6865,9817,0,238.13574480000003,0,17,0
100,41,65258,51114,11282,12287,12454,14870,6865,9817,197,238.4373953,0,17,1
100,41,414677,17022,4575,2334,12229,16634,5211,2097,0,239.1694566,0,17,0
100,41,414677,17022,4575,2334,12229,16634,5211,2097,157,239.815555,0,17,1
87,30,1588258,263651,32037,34727,20833,71196,18479,12568,0,240.115331,0,17,0
87,30,1588258,263651,32037,34727,20833,71196,18479,12568,73,240.6837035,0,17,2
90,40,703534,41691,17499,13759,88435,34927,40649,5585,0,241.1209059,0,17,0
90,40,703534,41691,17499,13759,88435,34927,40649,5585,144,241.339864,0,17,1
78,35,349230,33446,15332,2097,6780,4971,2853,1841,0,242.1226776,0,17,0
78,35,349230,33446,15332,2097,6780,4971,2853,1841,105,242.9540226,0,17,1
64,50,416001,82841,79309,45506,22912,11820,7211,4899,0,243.1097383,0,17,0
64,50,416001,82841,79309,45506,22912,11820,7211,4899,40,243.4183195,0,17,0
64,50,416001,82841,79309,45506,22912,11820,7211,4899,40,243.6355726,0,17,0
48,41,318597,96713,7676,4531,5956,4736,4386,2806,0,244.1146903,0,17,0
34,35,60506,67926,6096,2227,2695,9838,13035,3001,0,245.1025335,0,17,0
26,24,1651392,80179,10923,2804,10973,4526,2538,1786,0,246.1349812,0,17,0
26,24,1651392,80179,10923,2804,10973,4526,2538,1786,98,246.5806393,0,17,1
26,24,1651392,80179,10923,2804,10973,4526,2538,1786,0,247.1111675,0,17,0
26,24,1651392,80179,10923,2804,10973,4526,2538,1786,0,247.1113377,0,17,0
40,17,788949,52745,13522,52951,32486,24841,10971,2557,0,247.1118107,0,17,0
40,17,788949,52745,13522,52951,32486,24841,10971,2557,118,247.4773278,0,17,2
41,17,620761,1414759,132088,25560,41976,71908,37247,10159,0,248.103009,0,17,0
41,17,620761,1414759,132088,25560,41976,71908,37247,10159,113,248.37510010000003,0,17,1
41,35,400235,323272,111168,73086,24490,67468,9880,15667,0,249.1104106,0,17,0
53,53,357123,321985,302242,77170,70556,90983,27347,14800,0,250.11171220000003,0,17,0
53,53,357123,321985,302242,77170,70556,90983,27347,14800,77,250.2050232,0,17,1
53,53,357123,321985,302242,77170,70556,90983,27347,14800,121,250.9806261,0,17,2
35,44,1083662,582434,154826,41050,41745,30222,4629,5132,0,251.134451,0,17,0
48,57,847486,99238,24642,30496,46436,22705,7392,6274,0,252.1225201,0,17,0
54,61,125948,39748,12329,48788,28945,27712,15517,3064,0,253.1197632,0,17,0
54,61,125948,39748,12329,48788,28945,27712,15517,3064,101,253.5600818,0,17,1
48,61,1968461,607319,217678,465873,171367,86135,26663,15521,0,254.1213442,0,17,0
48,61,1968461,607319,217678,465873,171367,86135,26663,15521,143,254.2102789,0,17,2
48,61,1968461,607319,217678,465873,171367,86135,26663,15521,53,255.0793858,0,17,0
48,61,1968461,607319,217678,465873,171367,86135,26663,15521,43,255.47962120000005,0,17,0
48,61,1968461,607319,217678,465873,171367,86135,26663,15521,42,255.6862291,0,17,0
51,69,1524524,938202,847063,70385,196099,100614,95484,7405,0,256.1140944,0,17,0
51,69,1524524,938202,847063,70385,196099,100614,95484,7405,121,256.314351,0,17,1
51,69,1524524,938202,847063,70385,196099,100614,95484,7405,169,256.7925344,0,17,2
51,69,1524524,938202,847063,70385,196099,100614,95484,7405,0,257.18540140000005,0,17,0
51,69,1524524,938202,847063,70385,196099,100614,95484,7405,0,257.1855699,0,17,0
53,50,1195074,101351,11850,8975,53284,38582,20648,1470,0,257.1861933,0,17,0
53,50,1195074,101351,11850,8975,53284,38582,20648,1470,147,257.4655804,0,17,1
53,50,1195074,101351,11850,8975,53284,38582,20648,1470,86,258.0341128,0,17,2
69,50,202454,61619,74314,44021,31010,50254,25051,5050,0,258.10332400000004,0,17,0
69,50,202454,61619,74314,44021,31010,50254,25051,5050,121,258.7442575,0,17,1
66,60,162183,46278,33345,15386,9912,11911,9385,3797,0,259.1060044,0,17,0
66,60,162183,46278,33345,15386,9912,11911,9385,3797,129,259.4414584,0,17,2
66,60,162183,46278,33345,15386,9912,11911,9385,3797,134,259.9943853,0,17,1
69,54,66467,40573,15905,10398,9657,5307,4191,988,0,260.14700789999995,0,17,0
69,54,66467,40573,15905,10398,9657,5307,4191,988,124,260.75603479999995,0,17,2
50,61,952917,705670,115182,68193,151091,42664,13245,14599,0,261.12139790000003,0,17,0
50,61,952917,705670,115182,68193,151091,42664,13245,14599,76,261.3399207,0,17,1
50,61,952917,705670,115182,68193,151091,42664,13245,14599,150,261.6854386,0,17,2
37,60,168186,122161,97846,8177,18423,18976,3180,738,0,262.1119979,0,17,0
37,60,168186,122161,97846,8177,18423,18976,3180,738,175,262.2003105,0,17,2
37,60,168186,122161,97846,8177,18423,18976,3180,738,177,262.7537472,0,17,1
37,60,364098,28484,4981,6904,2776,3672,710,417,0,263.1162161,0,17,0
37,60,364098,28484,4981,6904,2776,3672,710,417,132,263.2307323,0,17,2
37,60,364098,28484,4981,6904,2776,3672,710,417,182,263.65578270000003,0,17,2
37,60,364098,28484,4981,6904,2776,3672,710,417,155,264.1098643,0,17,1
37,60,775442,61257,39766,15662,25794,8778,4796,4514,0,264.1423118,0,17,0
27,64,31659,71439,60433,22005,7480,8367,4105,2210,0,265.1162011,0,17,0
27,64,31659,71439,60433,22005,7480,8367,4105,2210,142,265.2709962,0,17,1
27,64,31659,71439,60433,22005,7480,8367,4105,2210,140,265.74560470000006,0,17,2
34,57,733120,428464,81045,73524,65193,62588,17320,8654,0,266.1167339,0,17,0
34,57,733120,428464,81045,73524,65193,62588,17320,8654,128,266.33634859999995,0,17,1
34,57,733120,428464,81045,73524,65193,62588,17320,8654,134,266.89957289999995,0,17,2
34,57,733120,428464,81045,73524,65193,62588,17320,8654,0,267.119973,0,17,0
34,57,733120,428464,81045,73524,65193,62588,17320,8654,0,267.120782,0,17,0
34,57,423610,19859,9301,5673,4050,2753,1753,913,0,267.1214761,0,17,0
34,57,423610,19859,9301,5673,4050,2753,1753,913,138,267.61523179999995,0,17,1
20,60,506506,724395,81672,103467,23243,13448,35108,12065,0,268.1202769,0,17,0
20,60,506506,724395,81672,103467,23243,13448,35108,12065,119,268.2457155,0,17,2
20,60,506506,724395,81672,103467,23243,13448,35108,12065,116,268.7469409,0,17,1
7,60,2691293,277169,154576,68996,58863,13395,9036,6812,0,269.11815590000003,0,17,0
7,60,2691293,277169,154576,68996,58863,13395,9036,6812,111,269.27008620000004,0,17,2
7,60,2691293,277169,154576,68996,58863,13395,9036,6812,102,269.7797631,0,17,1
7,60,2691293,277169,154576,68996,58863,13395,9036,6812,105,270.2112512,0,17,2
7,60,2691293,277169,154576,68996,58863,13395,9036,6812,116,270.89395019999995,0,17,1
1,47,1884162,135122,29562,22261,15040,8869,7492,5022,0,271.1418695,0,17,0
1,47,1884162,135122,29562,22261,15040,8869,7492,5022,107,271.8534367,0,17,2
1,47,1884162,135122,29562,22261,15040,8869,7492,5022,120,272.5835698,0,17,1
21,47,1299423,120773,48975,21505,9984,15976,13873,3987,0,273.1177159,0,17,0
21,47,1299423,120773,48975,21505,9984,15976,13873,3987,115,273.18419400000005,0,17,2
21,47,1299423,120773,48975,21505,9984,15976,13873,3987,115,273.91518640000004,0,17,1
26,50,1392198,108195,43060,5918,7782,7168,2940,2822,0,274.1165369,0,17,0
26,50,1392198,108195,43060,5918,7782,7168,2940,2822,150,274.6886654,0,17,2
30,63,1227517,161233,180582,140434,123935,35737,27874,18129,0,275.16290490000006,0,17,0
30,63,1227517,161233,180582,140434,123935,35737,27874,18129,137,275.5927432,0,17,1
29,60,1116949,547609,66739,98781,73081,51063,89744,31795,0,276.11572049999995,0,17,0
29,60,1116949,547609,66739,98781,73081,51063,89744,31795,133,276.2977363,0,17,2
29,60,1116949,547609,66739,98781,73081,51063,89744,31795,130,276.98260660000005,0,17,1
29,60,1116949,547609,66739,98781,73081,51063,89744,31795,0,277.1155949,0,17,0
29,60,1116949,547609,66739,98781,73081,51063,89744,31795,0,277.1158633,0,17,0
17,50,1304929,194020,12793,31373,5280,6860,3367,3241,0,277.1164671,0,17,0
17,50,1304929,194020,12793,31373,5280,6860,3367,3241,103,277.6114059,0,17,2
23,63,192006,34635,42853,6050,3437,6846,3054,779,0,278.1199667,0,17,0
23,63,192006,34635,42853,6050,3437,6846,3054,779,111,279.040987,0,17,1
21,48,493025,34965,6485,5581,3469,2899,1718,391,0,279.10321980000003,0,17,0
21,48,493025,34965,6485,5581,3469,2899,1718,391,145,279.713391,0,17,2
21,48,493025,34965,6485,5581,3469,2899,1718,391,48,279.9790968,0,17,0
35,41,200342,59445,6228,8082,18171,20282,18894,9310,0,280.1047652,0,17,0
57,54,1224690,16191,9920,14117,13535,9496,3933,983,0,281.12953460000006,0,17,0
57,54,1224690,16191,9920,14117,13535,9496,3933,983,161,281.93663430000004,0,17,1
47,44,2605484,345555,135330,31288,9810,14016,8895,1769,0,282.1627337,0,17,0
48,43,541052,121185,10152,21579,12705,11630,5442,2554,0,283.122576,0,17,0
48,43,541052,121185,10152,21579,12705,11630,5442,2554,156,283.7462449,0,17,1
35,54,834567,198413,72084,28520,14825,23305,7917,3185,0,284.10060510000005,0,17,0
20,53,1139346,139318,71088,17703,21743,13764,8228,5120,0,285.11334120000004,0,17,0
20,53,1139346,139318,71088,17703,21743,13764,8228,5120,148,285.5022369,0,17,1
20,53,1139346,139318,71088,17703,21743,13764,8228,5120,175,285.96510290000003,0,17,2
24,40,775487,537819,2326,95057,46709,27466,33539,4370,0,286.12154380000004,0,17,0
24,40,775487,537819,2326,95057,46709,27466,33539,4370,0,287.0891838,0,17,0
24,40,775487,537819,2326,95057,46709,27466,33539,4370,0,287.0893462,0,17,0
27,44,453346,138251,31666,22513,6434,16063,19926,8369,0,287.11923520000005,0,17,0
27,44,453346,138251,31666,22513,6434,16063,19926,8369,122,287.64385300000004,0,17,1
37,43,156889,37700,16084,9787,16284,10564,2207,1477,0,288.1178933,0,17,0
47,38,1381840,43179,7251,14403,11038,9682,16777,3035,0,289.15377550000005,0,17,0
47,38,1381840,43179,7251,14403,11038,9682,16777,3035,55,289.8561194,0,17,0
43,51,672742,115318,51944,5850,8381,6232,5625,1342,0,290.1082444,0,17,0
43,51,672742,115318,51944,5850,8381,6232,5625,1342,136,291.086641,0,17,1
34,48,1374840,1625902,162102,301678,83600,73548,58082,24822,0,291.1190139,0,17,0
34,48,1374840,1625902,162102,301678,83600,73548,58082,24822,56,291.7097208,0,17,0
14,63,1138409,133550,158858,106783,61568,11809,14802,1244,0,292.1118953,0,17,0
14,63,1138409,133550,158858,106783,61568,11809,14802,1244,64,292.5411874,0,17,1
14,63,1138409,133550,158858,106783,61568,11809,14802,1244,117,292.8820357,0,17,2
14,63,1138409,133550,158858,106783,61568,11809,14802,1244,113,293.9020782,0,17,1
16,69,372536,20870,6407,3582,3959,2623,1033,534,0,294.1151391,0,17,0
16,69,372536,20870,6407,3582,3959,2623,1033,534,137,294.5140189,0,17,2
16,69,372536,20870,6407,3582,3959,2623,1033,534,146,294.8826027,0,17,2
26,67,619556,80024,25018,9013,6704,11076,2698,2518,0,295.1250881,0,17,0
26,67,619556,80024,25018,9013,6704,11076,2698,2518,109,295.99077050000005,0,17,1
40,78,365201,33096,23486,7168,10125,7269,3257,3169,0,296.1140975,0,17,0
40,78,365201,33096,23486,7168,10125,7269,3257,3169,115,296.45816950000005,0,17,2
40,78,365201,33096,23486,7168,10125,7269,3257,3169,0,297.11263640000004,0,17,0
40,78,365201,33096,23486,7168,10125,7269,3257,3169,0,297.1133304,0,17,0
57,66,259488,30222,18100,4546,5924,7550,2996,2180,0,297.11399670000003,0,17,0
57,66,259488,30222,18100,4546,5924,7550,2996,2180,117,297.1142161,0,17,1
41,48,769794,432320,45418,11233,32188,17082,13702,6531,0,298.10867069999995,0,17,0
41,48,769794,432320,45418,11233,32188,17082,13702,6531,119,298.13969480000003,0,17,1
41,48,769794,432320,45418,11233,32188,17082,13702,6531,121,298.6995307,0,17,2
27,47,1825165,1011401,167464,281677,141776,43268,22339,14468,0,299.1276918,0,17,0
27,47,1825165,1011401,167464,281677,141776,43268,22339,14468,135,299.2870904,0,17,1
27,47,1825165,1011401,167464,281677,141776,43268,22339,14468,143,299.94351800000004,0,17,2
13,43,347060,46486,13111,12902,5759,2066,2352,710,0,300.13270520000003,0,17,0
13,43,347060,46486,13111,12902,5759,2066,2352,710,162,300.37003100000004,0,17,1
13,43,347060,46486,13111,12902,5759,2066,2352,710,182,300.9114231,0,17,2
13,43,1497367,91785,20224,27156,17406,7242,11968,4186,0,301.1124188,0,17,0
13,43,1497367,91785,20224,27156,17406,7242,11968,4186,121,302.098356,0,17,1
13,43,1497367,91785,20224,27156,17406,7242,11968,4186,88,302.4202796,0,17,2
13,43,1497367,91785,20224,27156,17406,7242,11968,4186,174,302.781964,0,17,2
13,54,735584,210529,32185,54558,24671,20056,5757,2751,0,303.115452,0,17,0
21,50,374395,484682,84546,52787,90539,39046,5171,1381,0,304.11457770000004,0,17,0
21,50,374395,484682,84546,52787,90539,39046,5171,1381,122,304.7184813,0,17,1
27,50,893438,354369,192627,67530,211416,35693,54642,31678,0,305.1294859,0,17,0
27,50,893438,354369,192627,67530,211416,35693,54642,31678,112,305.2202939,0,17,2
27,50,893438,354369,192627,67530,211416,35693,54642,31678,43,305.5776412,0,17,0
27,50,893438,354369,192627,67530,211416,35693,54642,31678,151,305.8569632,0,17,1
27,43,1881392,1411304,421638,97695,17726,168823,59668,26624,0,306.1057319,0,17,0
27,43,1881392,1411304,421638,97695,17726,168823,59668,26624,155,306.40298700000005,0,17,2
27,43,1881392,1411304,421638,97695,17726,168823,59668,26624,0,307.1452694,0,17,0
27,43,1881392,1411304,421638,97695,17726,168823,59668,26624,0,307.1455503,0,17,0
27,43,1560240,161573,16419,35769,19420,20865,4559,7217,0,307.1460192,0,17,0
27,43,1560240,161573,16419,35769,19420,20865,4559,7217,100,307.14668329999995,0,17,1
17,48,2665935,458796,93565,217565,122015,16279,47374,14462,0,308.1110384,0,17,0
34,61,48359,31001,29606,29360,34551,23901,6328,4973,0,309.1205691,0,17,0
34,61,48359,31001,29606,29360,34551,23901,6328,4973,75,309.2403747,0,17,1
0,0,0,0,0,0,0,0,0,0,165,0.6044443000000044,0,18,1
100,60,948373,73767,5164,13461,9234,12873,2565,1391,0,1.1246768000000031,0,18,0
100,60,948373,73767,5164,13461,9234,12873,2565,1391,45,1.436161300000002,0,18,0
100,74,814474,26579,78951,3092,30389,23725,6400,4591,0,2.124702800000001,0,18,0
100,74,814474,26579,78951,3092,30389,23725,6400,4591,183,2.125488500000003,0,18,1
100,74,814474,26579,78951,3092,30389,23725,6400,4591,181,2.574381500000001,0,18,2
100,74,814474,26579,78951,3092,30389,23725,6400,4591,218,3.0161923,0,18,2
100,74,3371636,136232,21175,54700,28701,41871,31186,9662,0,3.170741800000002,0,18,0
100,74,3371636,136232,21175,54700,28701,41871,31186,9662,237,3.4443191000000013,0,18,1
100,74,3371636,136232,21175,54700,28701,41871,31186,9662,132,3.754755100000004,0,18,2
100,74,635180,35636,27050,14230,7103,5591,3743,1234,0,4.114997899999999,0,18,0
100,54,841699,375529,21695,20418,26812,15452,14714,3384,0,6.123805900000008,0,18,0
100,54,841699,375529,21695,20418,26812,15452,14714,3384,40,6.6105883999999975,0,18,0
100,63,252675,47591,22987,19134,10069,9737,2644,1949,0,7.105312800000007,0,18,0
100,63,252675,47591,22987,19134,10069,9737,2644,1949,142,7.226900400000005,0,18,1
100,63,252675,47591,22987,19134,10069,9737,2644,1949,131,7.579468000000006,0,18,2
100,63,617534,12162,19248,2419,3214,3300,596,368,0,8.128900900000005,0,18,0
100,63,438538,99752,3678,47426,20604,17278,7311,2816,0,9.127949400000006,0,18,0
100,63,438538,99752,3678,47426,20604,17278,7311,2816,0,10.145358099999996,0,18,0
100,63,438538,99752,3678,47426,20604,17278,7311,2816,0,10.145736,0,18,0
100,63,676445,48768,9624,8537,25209,8171,2055,1830,0,10.1462152,0,18,0
100,63,710458,263737,296670,212363,74324,39729,8354,7681,0,11.124969899999996,0,18,0
100,63,777934,97971,6110,33637,34947,25733,7090,1029,0,12.111373400000003,0,18,0
84,53,250432,29037,2771,1075,808,896,946,122,0,13.128650500000006,0,18,0
77,47,549496,72346,33901,38599,31575,12715,12159,8126,0,14.128762500000008,0,18,0
77,47,549496,72346,33901,38599,31575,12715,12159,8126,43,14.942900000000009,0,18,0
87,56,580826,40491,10570,1009,7055,4616,5730,3100,0,15.1291899,0,18,0
87,56,580826,40491,10570,1009,7055,4616,5730,3100,49,15.221383099999995,0,18,0
88,60,932158,68443,25421,44515,8417,19431,18587,4765,0,16.1312394,0,18,0
88,60,932158,68443,25421,44515,8417,19431,18587,4765,169,16.2742724,0,18,1
88,60,932158,68443,25421,44515,8417,19431,18587,4765,141,16.749145,0,18,2
88,60,932158,68443,25421,44515,8417,19431,18587,4765,126,17.109547700000007,0,18,2
88,60,511107,7412,2885,4896,2048,1298,426,551,0,17.145658100000006,0,18,0
88,60,511107,7412,2885,4896,2048,1298,426,551,143,17.569620999999998,0,18,1
88,60,511107,7412,2885,4896,2048,1298,426,551,150,18.0312893,0,18,2
88,60,607362,721509,49218,19880,9195,9216,4363,4669,0,18.1204628,0,18,0
88,60,607362,721509,49218,19880,9195,9216,4363,4669,147,18.990065099999995,0,18,1
93,77,1331037,100854,25091,47408,21825,7200,11206,12245,0,19.122526300000004,0,18,0
93,77,1331037,100854,25091,47408,21825,7200,11206,12245,187,19.9796556,0,18,2
93,77,1331037,100854,25091,47408,21825,7200,11206,12245,0,20.1057687,0,18,0
93,77,1331037,100854,25091,47408,21825,7200,11206,12245,0,20.105886,0,18,0
93,77,744920,83720,17022,25686,8278,6586,6956,3243,0,20.106124800000003,0,18,0
93,77,744920,83720,17022,25686,8278,6586,6956,3243,97,20.2199181,0,18,1
93,77,744920,83720,17022,25686,8278,6586,6956,3243,158,20.8100774,0,18,2
93,77,744920,83720,17022,25686,8278,6586,6956,3243,122,21.085642199999995,0,18,2
69,57,1076249,501735,34713,31276,30630,6221,5311,8030,0,21.141687000000005,0,18,0
69,57,1076249,501735,34713,31276,30630,6221,5311,8030,130,21.425620100000003,0,18,1
69,57,1076249,501735,34713,31276,30630,6221,5311,8030,146,21.7908046,0,18,2
66,74,924026,126181,62590,63390,19753,20424,8840,11603,0,22.116803500000003,0,18,0
66,74,924026,126181,62590,63390,19753,20424,8840,11603,151,22.117438000000007,0,18,2
66,74,924026,126181,62590,63390,19753,20424,8840,11603,140,23.020355500000008,0,18,1
51,56,415227,217023,5941,39832,15053,10634,9349,1924,0,23.113515000000007,0,18,0
51,56,415227,217023,5941,39832,15053,10634,9349,1924,148,23.642377300000007,0,18,2
51,56,415227,217023,5941,39832,15053,10634,9349,1924,121,24.7820778,0,18,1
57,56,2333797,65559,33521,11988,6806,4932,1399,1206,0,25.1191288,0,18,0
75,60,945772,326912,31630,17871,14349,16582,23931,6299,0,26.131122200000007,0,18,0
75,60,1816583,132853,17933,8130,6345,10375,1279,760,0,27.142713900000004,0,18,0
75,60,1816583,132853,17933,8130,6345,10375,1279,760,118,27.32199540000001,0,18,1
80,48,1240324,111950,33771,9762,11394,16857,6570,1589,0,28.164007,0,18,0
80,48,1240324,111950,33771,9762,11394,16857,6570,1589,125,28.16566880000001,0,18,2
80,48,1240324,111950,33771,9762,11394,16857,6570,1589,131,28.896674900000008,0,18,1
70,40,1797958,500112,37079,13509,11350,10157,6049,2197,0,29.1162076,0,18,0
70,40,1797958,500112,37079,13509,11350,10157,6049,2197,136,29.633006100000003,0,18,2
70,40,1797958,500112,37079,13509,11350,10157,6049,2197,0,30.108574900000008,0,18,0
70,40,1797958,500112,37079,13509,11350,10157,6049,2197,0,30.108956500000005,0,18,0
63,23,678835,304710,23756,26047,21924,12629,19849,12171,0,30.10922960000001,0,18,0
63,23,678835,304710,23756,26047,21924,12629,19849,12171,155,30.265123000000003,0,18,1
70,20,1197256,39545,4432,1474,2123,4383,1218,662,0,31.122837000000004,0,18,0
70,20,1197256,39545,4432,1474,2123,4383,1218,662,151,31.674781600000003,0,18,1
77,27,1497574,79515,96315,8977,61358,32022,6263,8251,0,32.1051051,0,18,0
77,27,1497574,79515,96315,8977,61358,32022,6263,8251,128,32.5578476,0,18,2
